,continents,country,population,new_cases,active_cases,critical_cases,recovered_cases,1M_pop_cases,total_cases,new_deaths,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests,day,time
0,Asia,China,1439323776.0,+3,58,1,78351,58,83043,,3,4634,,,2020-06-09,2020-06-09T18:00:07+00:00
1,Europe,Italy,60466843.0,+283,32872,263,168646,3896,235561,+79,563,34043,71422,4318650.0,2020-06-09,2020-06-09T18:00:07+00:00
2,Europe,Spain,46753739.0,+249,0,617,0,6182,289046,,580,27136,95508,4465338.0,2020-06-09,2020-06-09T18:00:07+00:00
3,North-America,USA,330885824.0,+7673,1145499,16892,775109,6148,2034166,+503,343,113558,66123,21879274.0,2020-06-09,2020-06-09T18:00:07+00:00
4,Europe,Germany,83768186.0,+256,7449,540,170200,2226,186461,+29,105,8812,51916,4348880.0,2020-06-09,2020-06-09T18:00:07+00:00
5,Asia,Iran,83924324.0,+2095,29045,2639,138457,2096,175927,+74,100,8425,13448,1128601.0,2020-06-09,2020-06-09T18:00:07+00:00
6,Europe,France,65265090.0,+211,53917,1024,71062,2362,154188,+54,448,29209,21216,1384633.0,2020-06-09,2020-06-09T18:00:07+00:00
7,Asia,S-Korea,51266643.0,+38,989,15,10589,231,11852,+1,5,274,20208,1035997.0,2020-06-09,2020-06-09T18:00:07+00:00
8,Europe,Switzerland,8650765.0,+16,365,24,28700,3582,30988,,222,1923,49588,428973.0,2020-06-09,2020-06-09T18:00:07+00:00
9,Europe,UK,67864660.0,+1741,0,516,0,4261,289140,+286,602,40883,86503,5870506.0,2020-06-09,2020-06-09T18:00:07+00:00
10,Europe,Netherlands,17132661.0,+164,0,92,0,2796,47903,+15,352,6031,24774,424448.0,2020-06-09,2020-06-09T18:00:07+00:00
11,Europe,Austria,9003309.0,+11,432,19,15875,1886,16979,,75,672,55637,500921.0,2020-06-09,2020-06-09T18:00:07+00:00
12,Europe,Belgium,11586627.0,+89,33494,115,16324,5130,59437,+13,830,9619,82726,958513.0,2020-06-09,2020-06-09T18:00:07+00:00
13,Europe,Norway,5418646.0,+6,190,5,8138,1581,8567,,44,239,48395,262236.0,2020-06-09,2020-06-09T18:00:07+00:00
14,Europe,Sweden,10095462.0,+202,0,288,0,4549,45924,+23,467,4717,27289,275500.0,2020-06-09,2020-06-09T18:00:07+00:00
15,North-America,Canada,37721735.0,+230,33455,1828,55170,2558,96474,+14,208,7849,51168,1930141.0,2020-06-09,2020-06-09T18:00:07+00:00
16,Europe,Denmark,5790999.0,+39,559,15,10849,2072,12001,,102,593,126217,730924.0,2020-06-09,2020-06-09T18:00:07+00:00
17,Europe,Portugal,10198365.0,+421,12475,65,21339,3462,35306,+7,146,1492,92269,940988.0,2020-06-09,2020-06-09T18:00:07+00:00
18,Asia,Malaysia,32339526.0,+7,1244,6,6975,258,8336,,4,117,19121,618360.0,2020-06-09,2020-06-09T18:00:07+00:00
19,South-America,Brazil,212467494.0,+8562,356007,8318,325602,3386,719449,+528,178,37840,4706,999836.0,2020-06-09,2020-06-09T18:00:07+00:00
20,Oceania,Australia,25481186.0,+2,445,2,6720,285,7267,,4,102,64781,1650684.0,2020-06-09,2020-06-09T18:00:07+00:00
21,Asia,Japan,126499051.0,+33,1110,99,15148,136,17174,,7,916,2505,316848.0,2020-06-09,2020-06-09T18:00:07+00:00
22,Europe,Czechia,10707826.0,+31,2348,11,7052,908,9728,,31,328,44717,478825.0,2020-06-09,2020-06-09T18:00:07+00:00
23,Asia,Turkey,84282117.0,+993,22787,642,144598,2042,172114,+18,56,4729,28656,2415179.0,2020-06-09,2020-06-09T18:00:07+00:00
24,Asia,Israel,9197590.0,+148,2722,29,15159,1977,18180,+1,33,299,73716,678009.0,2020-06-09,2020-06-09T18:00:07+00:00
25,Europe,Ireland,4934313.0,+8,826,34,22698,5110,25215,+8,343,1691,74535,367780.0,2020-06-09,2020-06-09T18:00:07+00:00
26,,Diamond-Princess-,,,82,10,619,,712,,,11,,,2020-04-09,2020-04-09T15:45:06+00:00
27,Europe,Luxembourg,625309.0,+6,34,2,3902,6470,4046,,176,110,142192,88914.0,2020-06-09,2020-06-09T18:00:07+00:00
28,Asia,Pakistan,220603292.0,+4646,71127,111,35018,491,108317,+105,10,2172,3311,730453.0,2020-06-09,2020-06-09T18:00:07+00:00
29,South-America,Chile,19106092.0,+3913,44845,1689,95631,7472,142759,+19,119,2283,39076,746592.0,2020-06-09,2020-06-09T18:00:07+00:00
30,Europe,Poland,37848958.0,+400,13181,160,13196,728,27560,+17,31,1183,28742,1087853.0,2020-06-09,2020-06-09T18:00:07+00:00
31,South-America,Ecuador,17624879.0,+258,18716,228,21020,2461,43378,+21,207,3642,7238,127576.0,2020-06-09,2020-06-09T18:00:07+00:00
32,Europe,Greece,10425839.0,+9,1501,10,1374,293,3058,+1,18,183,22229,231759.0,2020-06-09,2020-06-09T18:00:07+00:00
33,Europe,Finland,5540221.0,+24,901,4,5800,1268,7025,+1,58,324,37110,205600.0,2020-06-09,2020-06-09T18:00:07+00:00
34,Asia,Qatar,2807805.0,+1721,24248,236,47569,25600,71879,+5,22,62,94392,265035.0,2020-06-09,2020-06-09T18:00:07+00:00
35,Europe,Iceland,341109.0,,3,0,1794,5297,1807,,29,10,184111,62802.0,2020-06-09,2020-06-09T18:00:07+00:00
36,Asia,Indonesia,273342397.0,+1043,19739,0,11414,121,33076,+40,7,1923,1570,429161.0,2020-06-09,2020-06-09T18:00:07+00:00
37,Asia,Singapore,5847525.0,+218,12612,3,25877,6586,38514,,4,25,69858,408495.0,2020-06-09,2020-06-09T18:00:07+00:00
38,Asia,Thailand,69789739.0,+2,90,1,2973,45,3121,,0.8,58,6708,468175.0,2020-06-09,2020-06-09T18:00:07+00:00
39,Asia,Saudi-Arabia,34778459.0,+3288,31449,1686,76339,3122,108571,+37,23,783,28087,976815.0,2020-06-09,2020-06-09T18:00:07+00:00
40,Europe,Slovenia,2078922.0,+1,18,0,1359,715,1486,,52,109,41157,85562.0,2020-06-09,2020-06-09T18:00:07+00:00
41,Europe,Romania,19244598.0,+145,4485,152,14910,1078,20749,+15,70,1354,26568,511295.0,2020-06-09,2020-06-09T18:00:07+00:00
42,Asia,India,1379159619.0,+8522,132782,8944,133956,199,274450,+239,6,7712,3565,4916116.0,2020-06-09,2020-06-09T18:00:07+00:00
43,South-America,Peru,32941004.0,+3181,104569,1062,89556,6062,199696,+106,169,5571,36550,1203985.0,2020-06-09,2020-06-09T18:00:07+00:00
44,Asia,Bahrain,1697080.0,+314,5096,13,10606,9269,15731,+2,17,29,222874,378235.0,2020-06-09,2020-06-09T18:00:07+00:00
45,Asia,Philippines,109487582.0,+518,17239,82,4736,210,22992,+6,9,1017,4125,451625.0,2020-06-09,2020-06-09T18:00:07+00:00
46,Europe,Russia,145930871.0,+8595,236714,2300,242397,3325,485253,+171,42,6142,90828,13254678.0,2020-06-09,2020-06-09T18:00:07+00:00
47,Europe,Estonia,1326484.0,+7,194,0,1684,1468,1947,,52,69,68602,91000.0,2020-06-09,2020-06-09T18:00:07+00:00
48,Africa,Egypt,102199634.0,+1365,24798,41,9375,347,35444,+34,12,1271,1321,135000.0,2020-06-09,2020-06-09T18:00:07+00:00
49,Asia,Hong-Kong,7493083.0,+1,55,3,1049,148,1108,,0.5,4,27082,202930.0,2020-06-09,2020-06-09T18:00:07+00:00
50,Africa,South-Africa,59258991.0,+2594,23700,208,26099,859,50879,+82,18,1080,15914,943059.0,2020-06-09,2020-06-09T18:00:07+00:00
51,Asia,Lebanon,6827123.0,+18,543,7,795,200,1368,,4,30,14317,97745.0,2020-06-09,2020-06-09T18:00:07+00:00
52,Asia,Iraq,40160173.0,+787,8045,70,5831,355,14268,+22,10,392,8035,322691.0,2020-06-09,2020-06-09T18:00:07+00:00
53,Europe,Croatia,4106636.0,,11,0,2130,547,2247,+2,26,106,16830,69115.0,2020-06-09,2020-06-09T18:00:07+00:00
54,North-America,Mexico,128847928.0,+2999,18416,378,87633,932,120102,+354,109,14053,2673,344375.0,2020-06-09,2020-06-09T18:00:07+00:00
55,North-America,Panama,4310325.0,+429,6055,87,10401,3910,16854,+5,92,398,16866,72697.0,2020-06-09,2020-06-09T18:00:07+00:00
56,South-America,Colombia,50847406.0,+1483,22984,335,16427,801,40719,+49,26,1308,8294,421725.0,2020-06-09,2020-06-09T18:00:07+00:00
57,Europe,Slovakia,5459490.0,+1,101,0,1402,280,1531,,5,28,34880,190426.0,2020-06-09,2020-06-09T18:00:07+00:00
58,Asia,Kuwait,4266472.0,+630,10705,173,22162,7768,33140,+4,64,273,75356,321506.0,2020-06-09,2020-06-09T18:00:07+00:00
59,Europe,Serbia,8739312.0,+69,367,15,11348,1369,11965,,29,250,32274,282049.0,2020-06-09,2020-06-09T18:00:07+00:00
60,Europe,Bulgaria,6951380.0,+99,1059,15,1587,404,2810,+4,24,164,13197,91735.0,2020-06-09,2020-06-09T18:00:07+00:00
61,Europe,San-Marino,33927.0,+1,163,1,483,20279,688,,1238,42,149173,5061.0,2020-06-09,2020-06-09T18:00:07+00:00
62,Asia,Armenia,2962921.0,+350,9007,10,4451,4615,13675,+6,73,217,24100,71405.0,2020-06-09,2020-06-09T18:00:07+00:00
63,South-America,Argentina,45170095.0,,15354,274,7568,523,23620,+5,15,698,4495,203051.0,2020-06-09,2020-06-09T18:00:07+00:00
64,Asia,Taiwan,23814153.0,,6,0,430,19,443,,0.3,7,3091,73601.0,2020-06-09,2020-06-09T18:00:07+00:00
65,Asia,UAE,9882820.0,+528,16881,1,22740,4038,39904,+2,29,283,256708,2537000.0,2020-06-09,2020-06-09T18:00:07+00:00
66,Africa,Algeria,43798266.0,+117,2707,36,6951,237,10382,+9,17,724,,,2020-06-09,2020-06-09T18:00:07+00:00
67,Europe,Latvia,1887275.0,+1,269,5,794,577,1089,,14,26,63611,120052.0,2020-06-09,2020-06-09T18:00:07+00:00
68,North-America,Costa-Rica,5091239.0,,619,5,712,264,1342,+1,2,11,5818,29622.0,2020-06-09,2020-06-09T18:00:07+00:00
69,North-America,Dominican-Republic,10841126.0,+289,7663,110,12208,1883,20415,+5,50,544,8718,94511.0,2020-06-09,2020-06-09T18:00:07+00:00
70,South-America,Uruguay,3472988.0,,84,4,738,243,845,,7,23,14079,48896.0,2020-06-09,2020-06-09T18:00:07+00:00
71,Europe,Hungary,9661722.0,+3,1143,20,2324,416,4017,+2,57,550,22198,214468.0,2020-06-09,2020-06-09T18:00:07+00:00
72,Asia,Jordan,10196822.0,+14,179,5,657,83,845,,0.9,9,23048,235014.0,2020-06-09,2020-06-09T18:00:07+00:00
73,Europe,Lithuania,2724198.0,+7,317,17,1338,634,1727,+1,26,72,124834,340073.0,2020-06-09,2020-06-09T18:00:07+00:00
74,Africa,Morocco,36882853.0,+135,734,15,7493,229,8437,+2,6,210,9100,335643.0,2020-06-09,2020-06-09T18:00:07+00:00
75,Asia,Vietnam,97282041.0,+3,16,1,316,3,332,,,0,2827,275000.0,2020-06-09,2020-06-09T18:00:07+00:00
76,Europe,Bosnia-and-Herzegovina,3281922.0,+24,519,4,2049,831,2728,,49,160,22095,72514.0,2020-06-09,2020-06-09T18:00:07+00:00
77,Europe,Faeroe-Islands,48851.0,,0,0,187,3828,187,,,0,210804,10298.0,2020-06-09,2020-06-09T18:00:07+00:00
78,Europe,Andorra,77257.0,,50,7,751,11028,852,,660,51,48539,3750.0,2020-06-09,2020-06-09T18:00:07+00:00
79,Europe,North-Macedonia,2083379.0,+87,1424,34,1658,1555,3239,+1,75,157,18246,38014.0,2020-06-09,2020-06-09T18:00:07+00:00
80,Asia,Cyprus,1206824.0,+2,147,4,807,805,972,,15,18,103836,125312.0,2020-06-09,2020-06-09T18:00:07+00:00
81,Asia,Brunei,437219.0,,1,1,138,322,141,,5,2,51837,22664.0,2020-06-09,2020-06-09T18:00:07+00:00
82,Europe,Moldova,4034488.0,+218,3863,305,5797,2485,10025,+12,90,365,15697,63328.0,2020-06-09,2020-06-09T18:00:07+00:00
83,Asia,Sri-Lanka,21407923.0,+1,790,1,1057,87,1858,,0.5,11,3595,76957.0,2020-06-09,2020-06-09T18:00:07+00:00
84,Europe,Albania,2877975.0,+36,305,6,960,451,1299,,12,34,5808,16716.0,2020-06-09,2020-06-09T18:00:07+00:00
85,Europe,Belarus,9449500.0,+812,25477,92,24506,5319,50265,+6,30,282,68169,644160.0,2020-06-09,2020-06-09T18:00:07+00:00
86,Europe,Malta,441474.0,+2,26,0,597,1432,632,,20,9,174490,77033.0,2020-06-09,2020-06-09T18:00:07+00:00
87,South-America,Venezuela,28440431.0,+96,1964,0,487,87,2473,,0.8,22,47233,1343336.0,2020-06-09,2020-06-09T18:00:07+00:00
88,Africa,Burkina-Faso,20862110.0,+1,73,0,765,43,891,,3,53,,,2020-06-09,2020-06-09T18:00:07+00:00
89,Africa,Tunisia,11810540.0,,56,1,982,92,1087,,4,49,4692,55419.0,2020-06-09,2020-06-09T18:00:07+00:00
90,North-America,Guadeloupe,400119.0,+2,6,1,144,410,164,,35,14,12434,4975.0,2020-06-09,2020-06-09T18:00:07+00:00
91,Africa,Senegal,16712504.0,+89,1655,14,2809,270,4516,+3,3,52,3245,54232.0,2020-06-09,2020-06-09T18:00:07+00:00
92,Asia,Kazakhstan,18762470.0,+215,4998,62,8015,697,13074,+5,3,61,53221,998556.0,2020-06-09,2020-06-09T18:00:07+00:00
93,Asia,Azerbaijan,10133526.0,+315,3487,66,4606,808,8191,+5,10,98,33887,343391.0,2020-06-09,2020-06-09T18:00:07+00:00
94,Asia,Cambodia,16704067.0,,2,1,124,8,126,,,0,1430,23879.0,2020-06-09,2020-06-09T18:00:07+00:00
95,Asia,Palestine,5093173.0,+1,67,0,404,93,474,,0.6,3,8811,44876.0,2020-06-09,2020-06-09T18:00:07+00:00
96,Oceania,New-Zealand,5002100.0,,0,0,1482,301,1504,,4,22,59155,295901.0,2020-06-09,2020-06-09T18:00:07+00:00
97,Asia,Oman,5097444.0,+712,13963,85,4152,3570,18198,+2,16,83,22377,114064.0,2020-06-09,2020-06-09T18:00:07+00:00
98,Asia,Georgia,3989597.0,+6,119,6,686,205,818,,3,13,16975,67725.0,2020-06-09,2020-06-09T18:00:07+00:00
99,North-America,Trinidad-and-Tobago,1399209.0,,0,0,109,84,117,,6,8,2445,3421.0,2020-06-09,2020-06-09T18:00:07+00:00
100,Europe,Ukraine,43747990.0,+394,14634,304,12412,637,27856,+13,19,810,9999,437444.0,2020-06-09,2020-06-09T18:00:07+00:00
101,Africa,R&eacute;union,894906.0,+1,33,4,447,537,481,,1,1,19220,17200.0,2020-06-09,2020-06-09T18:00:07+00:00
102,Asia,Uzbekistan,33437803.0,+42,1020,9,3444,134,4482,,0.5,18,22386,748555.0,2020-06-09,2020-06-09T18:00:07+00:00
103,Africa,Cameroon,26499342.0,+252,3306,28,4794,314,8312,,8,212,,,2020-06-09,2020-06-09T18:00:07+00:00
104,North-America,Martinique,375285.0,+2,90,0,98,538,202,,37,14,,,2020-06-09,2020-06-09T18:00:07+00:00
105,Europe,Liechtenstein,,,26,0,55,2151,82,,,1,,900.0,2020-06-09,2020-06-09T18:00:07+00:00
