,continents,country,population,new_cases,active_cases,critical_cases,recovered_cases,1M_pop_cases,total_cases,new_deaths,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests,day,time
106,Europe,Channel-Islands,173759.0,+1,6,0,512,3246,564,,265,46,59019,10255.0,2020-06-09,2020-06-09T18:00:07+00:00
107,Asia,Bangladesh,164587111.0,+3171,55363,1,15337,435,71675,+45,6,975,2586,425595.0,2020-06-09,2020-06-09T18:00:07+00:00
108,Asia,Afghanistan,38867774.0,+542,18424,19,2651,552,21459,+15,10,384,1274,49530.0,2020-06-09,2020-06-09T18:00:07+00:00
109,North-America,Honduras,9894290.0,+123,5448,13,740,652,6450,+4,26,262,2177,21540.0,2020-06-09,2020-06-09T18:00:07+00:00
110,Africa,DRC,89361277.0,+153,3630,0,539,48,4259,+2,1,90,,,2020-06-09,2020-06-09T18:00:07+00:00
111,Africa,Nigeria,205766196.0,+315,8400,7,4040,62,12801,+7,2,361,380,78244.0,2020-06-09,2020-06-09T18:00:07+00:00
112,North-America,Cuba,11327009.0,+5,242,1,1880,195,2205,,7,83,10824,122603.0,2020-06-09,2020-06-09T18:00:07+00:00
113,Africa,Ghana,31028714.0,+272,6217,3,3645,319,9910,+4,2,48,7588,235443.0,2020-06-09,2020-06-09T18:00:07+00:00
114,,Puerto-Rico,,+8,36,0,1,14,39,,,2,,,2020-03-25,2020-03-25T06:00:07+00:00
115,North-America,Jamaica,2960399.0,+1,184,2,405,202,599,,3,10,5000,14802.0,2020-06-09,2020-06-09T18:00:07+00:00
116,South-America,Bolivia,11662786.0,+306,11315,3,2159,1196,13949,+10,41,475,3266,38092.0,2020-06-09,2020-06-09T18:00:07+00:00
117,South-America,Guyana,786315.0,,58,2,84,196,154,,15,12,2310,1816.0,2020-06-09,2020-06-09T18:00:07+00:00
118,South-America,Paraguay,7126969.0,+42,572,2,604,167,1187,,2,11,5464,38942.0,2020-06-09,2020-06-09T18:00:07+00:00
119,Asia,Macao,,,0,0,45,69,45,,,0,,,2020-06-09,2020-06-09T18:00:07+00:00
120,Europe,Monaco,39222.0,,2,1,93,2524,99,,102,4,413034,16200.0,2020-06-09,2020-06-09T18:00:07+00:00
121,South-America,French-Guiana,298133.0,+44,344,6,427,2593,773,,7,2,929,277.0,2020-06-09,2020-06-09T18:00:07+00:00
122,North-America,Guatemala,17893400.0,+447,5912,5,1323,419,7502,+15,15,267,1756,31427.0,2020-06-09,2020-06-09T18:00:07+00:00
123,Africa,Rwanda,12928753.0,+12,152,0,297,35,451,,0.2,2,6053,78259.0,2020-06-09,2020-06-09T18:00:07+00:00
124,Europe,Montenegro,628061.0,,0,0,315,516,324,,14,9,20995,13186.0,2020-06-09,2020-06-09T18:00:07+00:00
125,Africa,Togo,8264689.0,+2,233,0,251,60,497,,2,13,2814,23255.0,2020-06-09,2020-06-09T18:00:07+00:00
126,Oceania,French-Polynesia,280797.0,,0,0,60,214,60,,,0,15178,4262.0,2020-06-09,2020-06-09T18:00:07+00:00
127,,Guam,,+3,31,0,0,190,32,,,1,,,2020-03-25,2020-03-25T06:00:07+00:00
128,Africa,Mauritius,1271640.0,,3,0,324,265,337,,8,10,105284,133883.0,2020-06-09,2020-06-09T18:00:07+00:00
129,North-America,Barbados,287354.0,,4,1,81,320,92,,24,7,20619,5925.0,2020-06-09,2020-06-09T18:00:07+00:00
130,Africa,Ivory-Coast,26330544.0,+142,1974,0,1869,147,3881,+2,1,38,1229,32349.0,2020-06-09,2020-06-09T18:00:07+00:00
131,Asia,Kyrgyzstan,6517111.0,+23,548,5,1483,315,2055,+1,4,24,19495,127051.0,2020-06-09,2020-06-09T18:00:07+00:00
132,Asia,Maldives,539912.0,+26,924,9,1010,3597,1942,,15,8,53601,28940.0,2020-06-09,2020-06-09T18:00:07+00:00
133,Africa,Mayotte,272354.0,+24,493,12,1654,7986,2175,+3,103,28,29924,8150.0,2020-06-09,2020-06-09T18:00:07+00:00
134,Europe,Gibraltar,33692.0,,11,0,165,5224,176,,,0,275525,9283.0,2020-06-09,2020-06-09T18:00:07+00:00
135,Asia,Mongolia,3274827.0,,109,15,85,59,194,,,0,4997,16365.0,2020-06-09,2020-06-09T18:00:07+00:00
136,Africa,Ethiopia,114763301.0,+180,1925,32,379,20,2336,+5,0.3,32,1327,152334.0,2020-06-09,2020-06-09T18:00:07+00:00
137,Africa,Kenya,53689786.0,+127,2028,7,873,56,2989,+3,2,88,1875,100683.0,2020-06-09,2020-06-09T18:00:07+00:00
138,Africa,Seychelles,,,0,0,11,112,11,,,0,,,2020-06-09,2020-06-09T18:00:07+00:00
139,Africa,Equatorial-Guinea,1399153.0,,1094,0,200,933,1306,,9,12,5909,8268.0,2020-06-09,2020-06-09T18:00:07+00:00
140,Africa,Tanzania,,,305,7,183,9,509,,,21,,,2020-06-09,2020-06-09T18:00:07+00:00
141,,US-Virgin-Islands,,+11,17,0,0,163,17,,,0,,,2020-03-25,2020-03-25T06:00:07+00:00
142,Africa,Gabon,2221499.0,+146,2247,13,833,1396,3101,,9,21,7531,16730.0,2020-06-09,2020-06-09T18:00:07+00:00
143,North-America,Aruba,106737.0,,0,0,98,946,101,,28,3,20415,2179.0,2020-06-09,2020-06-09T18:00:07+00:00
144,North-America,Saint-Martin,,,5,1,33,1062,41,,,3,,614.0,2020-06-09,2020-06-09T18:00:07+00:00
145,South-America,Suriname,586307.0,+2,119,1,9,222,130,,3,2,1987,1165.0,2020-06-09,2020-06-09T18:00:07+00:00
146,North-America,Bahamas,393000.0,,28,1,64,262,103,,28,11,5662,2225.0,2020-06-09,2020-06-09T18:00:07+00:00
147,Oceania,New-Caledonia,285320.0,,0,0,20,70,20,,,0,25435,7257.0,2020-06-09,2020-06-09T18:00:07+00:00
148,North-America,Cayman-Islands,65671.0,+7,68,0,102,2604,171,,15,1,224346,14733.0,2020-06-09,2020-06-09T18:00:07+00:00
149,North-America,Cura&ccedil;ao,164044.0,,5,0,15,128,21,,6,1,6004,985.0,2020-06-09,2020-06-09T18:00:07+00:00
150,Africa,Cabo-Verde,555608.0,+18,310,0,270,1053,585,,9,5,2352,1307.0,2020-06-09,2020-06-09T18:00:07+00:00
151,Africa,CAR,4824200.0,+216,1807,0,38,383,1850,,1,5,3292,15881.0,2020-06-09,2020-06-09T18:00:07+00:00
152,Africa,Congo,5507429.0,+48,451,0,210,124,683,+2,4,22,,,2020-06-09,2020-06-09T18:00:07+00:00
153,North-America,El-Salvador,6484249.0,+87,1720,91,1413,492,3191,+3,9,58,17161,111274.0,2020-06-09,2020-06-09T18:00:07+00:00
154,Africa,Liberia,5049404.0,+13,153,0,199,76,383,+1,6,31,,,2020-06-09,2020-06-09T18:00:07+00:00
155,Africa,Madagascar,27640577.0,+44,855,9,274,41,1138,,0.3,9,496,13707.0,2020-06-09,2020-06-09T18:00:07+00:00
156,Africa,Namibia,2537711.0,+2,15,1,16,12,31,,,0,1948,4943.0,2020-06-09,2020-06-09T18:00:07+00:00
157,North-America,St-Barth,9875.0,,0,0,6,608,6,,,0,15392,152.0,2020-06-09,2020-06-09T18:00:07+00:00
158,Africa,Zimbabwe,14848319.0,+5,237,0,46,19,287,,0.3,4,3563,52905.0,2020-06-09,2020-06-09T18:00:07+00:00
159,Africa,Sudan,43775253.0,+161,3811,0,2059,143,6242,+13,8,372,9,401.0,2020-06-09,2020-06-09T18:00:07+00:00
160,Africa,Angola,32787913.0,+1,50,1,38,3,92,,0.1,4,305,10000.0,2020-06-09,2020-06-09T18:00:07+00:00
161,Africa,Benin,12100615.0,+17,113,2,188,25,305,,0.3,4,3727,45100.0,2020-06-09,2020-06-09T18:00:07+00:00
162,North-America,Bermuda,62291.0,,12,2,120,2264,141,,144,9,131143,8169.0,2020-06-09,2020-06-09T18:00:07+00:00
163,Asia,Bhutan,771074.0,,42,0,17,77,59,,,0,25655,19782.0,2020-06-09,2020-06-09T18:00:07+00:00
164,Oceania,Fiji,895961.0,,0,0,18,20,18,,,0,2713,2431.0,2020-06-09,2020-06-09T18:00:07+00:00
165,North-America,Greenland,56764.0,,0,0,13,229,13,,,0,42492,2412.0,2020-06-09,2020-06-09T18:00:07+00:00
166,Africa,Guinea,13106296.0,+99,1275,24,2918,322,4216,,2,23,1099,14407.0,2020-06-09,2020-06-09T18:00:07+00:00
167,North-America,Haiti,11393700.0,+204,3460,0,24,311,3538,+3,5,54,654,7451.0,2020-06-09,2020-06-09T18:00:07+00:00
168,Europe,Isle-of-Man,85005.0,,0,0,312,3953,336,,282,24,62138,5282.0,2020-06-09,2020-06-09T18:00:07+00:00
169,Africa,Mauritania,4640624.0,+55,926,7,119,238,1104,+4,13,59,1649,7654.0,2020-06-09,2020-06-09T18:00:07+00:00
170,North-America,Nicaragua,6618054.0,+359,702,0,370,169,1118,+11,7,46,,,2020-06-09,2020-06-09T18:00:07+00:00
171,North-America,Saint-Lucia,183575.0,,1,0,18,103,19,,,0,6559,1204.0,2020-06-09,2020-06-09T18:00:07+00:00
172,Africa,Zambia,18345399.0,+111,278,1,912,65,1200,+3,0.5,10,1539,28236.0,2020-06-09,2020-06-09T18:00:07+00:00
173,Asia,Nepal,29101899.0,+324,3487,0,584,140,4086,+1,0.5,15,9363,272489.0,2020-06-09,2020-06-09T18:00:07+00:00
174,North-America,Antigua-and-Barbuda,97866.0,,3,1,20,266,26,,31,3,2514,246.0,2020-06-09,2020-06-09T18:00:07+00:00
175,Africa,Chad,16391677.0,+5,67,0,706,51,844,+1,4,71,,,2020-06-09,2020-06-09T18:00:07+00:00
176,Africa,Djibouti,987070.0,+53,2158,0,2139,4388,4331,+3,34,34,36975,36497.0,2020-06-09,2020-06-09T18:00:07+00:00
177,Africa,Eritrea,,,0,0,39,11,39,,,0,,,2020-06-09,2020-06-09T18:00:07+00:00
178,Africa,Gambia,2411580.0,+2,6,0,21,12,28,,0.4,1,791,1907.0,2020-06-09,2020-06-09T18:00:07+00:00
179,Europe,Vatican-City,801.0,,0,0,12,14981,12,,,0,,,2020-06-09,2020-06-09T18:00:07+00:00
180,North-America,Montserrat,,,0,0,10,2204,11,,,1,,61.0,2020-06-09,2020-06-09T18:00:07+00:00
181,Africa,Niger,24136909.0,,39,0,869,40,973,,3,65,257,6215.0,2020-06-09,2020-06-09T18:00:07+00:00
182,Oceania,Papua-New-Guinea,8931936.0,,0,0,8,0.9,8,,,0,520,4646.0,2020-06-09,2020-06-09T18:00:07+00:00
183,North-America,St-Vincent-Grenadines,110917.0,+1,11,0,16,243,27,,,0,5752,638.0,2020-06-09,2020-06-09T18:00:07+00:00
184,North-America,Sint-Maarten,42840.0,,1,1,61,1797,77,,350,15,10971,470.0,2020-06-09,2020-06-09T18:00:07+00:00
185,Africa,Somalia,15861260.0,+48,1842,2,489,152,2416,+1,5,85,,,2020-06-09,2020-06-09T18:00:07+00:00
186,Africa,Eswatini,1159413.0,+31,136,5,232,320,371,,3,3,5650,6551.0,2020-06-09,2020-06-09T18:00:07+00:00
187,Asia,Timor-Leste,1316345.0,,0,0,24,18,24,,,0,1191,1568.0,2020-06-09,2020-06-09T18:00:07+00:00
188,Africa,Uganda,45633864.0,+11,539,0,118,14,657,,,0,2283,104160.0,2020-06-09,2020-06-09T18:00:07+00:00
189,All,All,,+72037,3275849,53984,3575557,932,7262484,+2838,52.7,411078,,,2020-06-09,2020-06-09T18:00:07+00:00
190,Africa,Mozambique,31192256.0,+20,315,0,136,15,453,,0.06,2,487,15190.0,2020-06-09,2020-06-09T18:00:07+00:00
191,Asia,Syria,17470870.0,+2,78,0,62,8,146,,0.3,6,,,2020-06-09,2020-06-09T18:00:07+00:00
192,North-America,Grenada,112491.0,,1,1,22,204,23,,,0,36714,4130.0,2020-06-09,2020-06-09T18:00:07+00:00
193,North-America,Dominica,71973.0,,2,0,16,250,18,,,0,7419,534.0,2020-06-09,2020-06-09T18:00:07+00:00
194,North-America,Turks-and-Caicos,38679.0,,0,0,11,310,12,,26,1,4964,192.0,2020-06-09,2020-06-09T18:00:07+00:00
195,North-America,Belize,397068.0,+1,1,0,16,48,19,,5,2,4385,1741.0,2020-06-09,2020-06-09T18:00:07+00:00
196,Asia,Myanmar,54387686.0,+2,81,0,159,5,246,,0.1,6,721,39211.0,2020-06-09,2020-06-09T18:00:07+00:00
197,Asia,Laos,7268725.0,,0,0,19,3,19,,,0,1228,8926.0,2020-06-09,2020-06-09T18:00:07+00:00
198,Africa,Libya,6865033.0,+76,270,0,57,48,332,,0.7,5,1533,10525.0,2020-06-09,2020-06-09T18:00:07+00:00
199,Africa,Mali,20208491.0,+39,561,0,931,78,1586,+2,5,94,172,3483.0,2020-06-09,2020-06-09T18:00:07+00:00
200,Africa,Guinea-Bissau,1964631.0,+21,1224,5,153,707,1389,,6,12,764,1500.0,2020-06-09,2020-06-09T18:00:07+00:00
201,North-America,British-Virgin-Islands,,,0,0,7,265,8,,,1,,167.0,2020-06-09,2020-06-09T18:00:07+00:00
202,North-America,Saint-Kitts-and-Nevis,53173.0,,0,0,15,282,15,,,0,7673,408.0,2020-06-09,2020-06-09T18:00:07+00:00
203,North-America,Anguilla,,,0,0,3,200,3,,,0,,41.0,2020-06-09,2020-06-09T18:00:07+00:00
204,,MS-Zaandam-,,+7,7,0,0,,9,+2,,2,,,2020-04-09,2020-04-09T15:45:06+00:00
205,,MS-Zaandam,,,7,0,0,,9,,,2,,,2020-06-09,2020-06-09T18:00:07+00:00
206,Africa,Botswana,2348277.0,+2,17,1,24,18,42,,0.4,1,11173,26238.0,2020-06-09,2020-06-09T18:00:07+00:00
207,Africa,Sierra-Leone,7965970.0,+24,354,0,621,129,1025,+1,6,50,,,2020-06-09,2020-06-09T18:00:07+00:00
208,Africa,Burundi,11861964.0,+20,37,0,45,7,83,,0.08,1,32,382.0,2020-06-09,2020-06-09T18:00:07+00:00
209,North-America,Caribbean-Netherlands,26203.0,,0,0,7,267,7,,,0,16181,424.0,2020-06-09,2020-06-09T18:00:07+00:00
210,Africa,Malawi,19093535.0,+5,384,4,55,23,443,,0.2,4,343,6542.0,2020-06-09,2020-06-09T18:00:07+00:00
211,South-America,Falkland-Islands,3473.0,,0,0,13,3743,13,,,0,154045,535.0,2020-06-09,2020-06-09T18:00:07+00:00
212,Africa,Western-Sahara,,,2,0,6,15,9,,,1,,,2020-06-09,2020-06-09T18:00:07+00:00
213,Africa,South-Sudan,11185064.0,+287,1570,0,15,143,1604,+5,2,19,300,3356.0,2020-06-09,2020-06-09T18:00:07+00:00
214,North-America,Saint-Pierre-Miquelon,,,0,0,1,173,1,,,0,,,2020-06-09,2020-06-09T18:00:07+00:00
215,Africa,Sao-Tome-and-Principe,218887.0,+1,426,0,76,2348,514,,55,12,5003,1095.0,2020-06-09,2020-06-09T18:00:07+00:00
216,North-America,North-America,,+12058,1229613,19421,948494,,2315394,+902,,137287,,,2020-06-09,2020-06-09T18:00:07+00:00
217,Europe,Europe,,+14358,839128,7082,1104935,,2124125,+702,,180062,,,2020-06-09,2020-06-09T18:00:07+00:00
218,Asia,Asia,,+31348,523612,15061,863943,,1423830,+636,,36275,,,2020-06-09,2020-06-09T18:00:07+00:00
219,South-America,South-America,,+12869,576931,11924,560325,,1189145,+562,,51889,,,2020-06-09,2020-06-09T18:00:07+00:00
220,Oceania,Oceania,,+2,445,2,8308,,8877,,,124,,,2020-06-09,2020-06-09T18:00:07+00:00
221,Africa,Africa,,+1402,106065,490,88901,,200392,+36,,5426,,,2020-06-09,2020-06-09T18:00:07+00:00
222,,Diamond-Princess,,,48,4,651,,712,,,13,,,2020-06-09,2020-06-09T18:00:07+00:00
223,Asia,Yemen,29778960.0,+12,361,0,23,17,496,,4,112,4,120.0,2020-06-09,2020-06-09T18:00:07+00:00
224,Asia,Tajikistan,9522852.0,+81,1827,0,2815,492,4690,,5,48,,,2020-06-09,2020-06-09T18:00:07+00:00
225,Africa,Comoros,868181.0,+9,72,0,67,162,141,,2,2,,,2020-06-09,2020-06-09T18:00:07+00:00
226,Africa,Lesotho,2140931.0,+2,2,0,2,2,4,,,0,708,1515.0,2020-06-09,2020-06-09T18:00:07+00:00
